Period,Group,n_stocks,mean_return,volatility
covid,0,40,-0.0013107465997987283,0.039610160749849174
covid,1,10,-0.004667986782774746,0.06532901517208291
rate_shock,0,40,-0.0005344288956977964,0.013917273123980299
rate_shock,1,10,0.0008689043516347069,0.021045534237245603
