Method,Sharpe Ratio,Mean Return,Volatility,Max Drawdown
DTW + HRP,0.7320577107141812,0.13714563980085598,0.17702217569115372,-4.058607086411142
Pearson + HRP,1.1477816192677006,0.5952335262577619,0.4900259820613291,-1.87993233718794
1/N,0.67513382430323,,,
