ticker,PC1,PC2,cluster
AAPL,0.2766750778606202,-0.1383323316215546,0
ABBV,0.10016686803745826,0.2994004048276086,0
ABT,0.2389927900198638,0.2136829058078654,0
ADBE,0.39721802951365437,-0.2543670979788724,0
AMGN,0.17157545513513237,0.27327193397464977,0
AMZN,0.4073014855653973,-0.2632447145710176,0
AXP,-0.1381433789309438,-0.051288819109572205,0
BAC,-0.22798470852339936,-0.02566377222679842,0
C,-0.27893807185197717,-0.08485131680653325,0
COP,-0.7189049479459816,-0.11193366553675321,1
COST,0.28663755867832486,0.1524399216353667,0
CRM,0.33382704154610865,-0.28439894405159394,0
CVX,-0.45211008705334643,0.023721854873069808,1
DHR,0.2793492248985123,0.15725994951551733,0
EOG,-0.7769075282930559,-0.14313639063735556,1
GOOGL,0.28293507479951735,-0.1511072847890959,0
GS,-0.13131338168181705,-0.04655743895158063,0
HD,0.170147608491235,0.07259031004910357,0
JNJ,0.14520488603826673,0.35454109699333847,0
JPM,-0.17501134873844218,0.03244549861901652,0
KMI,-0.4001093590724612,-0.006789738981029668,1
KO,0.09720281989703887,0.2994308176885724,0
LLY,0.20553155056487035,0.3286070170236399,0
MA,0.11113810249192933,-0.05592626606456823,0
MCD,0.11430678314436035,0.1935967333164064,0
META,0.3953122956091642,-0.30971720591573454,0
MPC,-0.5780258229907833,-0.13460277343073837,1
MRK,0.12587439003035622,0.3495556573413754,0
MS,-0.15141770148878395,-0.07374060665327965,0
MSFT,0.31548999892488216,-0.12798733054286512,0
NKE,0.16706351906680886,0.011091337418076632,0
NVDA,0.4566006877493763,-0.6993823117192759,1
ORCL,0.1876180432403191,0.06744251787787338,0
OXY,-0.9773126701499487,-0.25030690801266464,1
PEP,0.1846209696561247,0.30360543147674957,0
PFE,0.13495173240472977,0.34583556127144777,0
PG,0.1926715134337008,0.3398210204352594,0
PM,0.05592672334798578,0.28979102208412744,0
PSX,-0.5462570174512538,-0.010791423020707278,0
PYPL,0.33959575737008263,-0.32179363754326856,0
SBUX,0.135580610540851,0.03511918818185354,0
SLB,-0.7473671761064725,-0.11986761570596824,1
TMO,0.28186430696894754,0.137430770362328,0
TSLA,0.3939323111127603,-1.1236985328376954,1
UNH,0.0977301534817097,0.23318742320009425,0
V,0.11825928060574326,-0.0052816745184950655,0
WFC,-0.22196656718919994,0.02308131519236756,0
WMB,-0.4454351207176437,-0.10135118797550884,1
WMT,0.21618531436474092,0.2846453231518543,0
XOM,-0.4502830764050633,0.07452397688496361,0
